,G,D
0,0.5884924530982971,-5.812287330627441
1,2.412182569503784,0.026287555694580078
2,-4.49250602722168,-12.074316024780273
3,-25.336605072021484,-10.657224655151367
4,-27.62639808654785,4.086723804473877
5,-17.82053565979004,7.137301445007324
6,-10.362360000610352,6.928501129150391
7,-3.854806900024414,6.142770767211914
8,1.1044118404388428,5.846185684204102
9,4.793757915496826,5.6851959228515625
10,9.771622657775879,3.8509535789489746
11,21.06595230102539,-0.2735419273376465
12,41.54237365722656,-5.037737846374512
13,41.83345031738281,-1.6396244764328003
14,25.91067123413086,4.164132118225098
15,18.257041931152344,5.085107326507568
16,15.210779190063477,3.411395788192749
17,16.788190841674805,-6.81781530380249
18,15.816560745239258,-27.723461151123047
19,-7.2242584228515625,-34.45912170410156
20,-19.829551696777344,-17.34480857849121
21,-22.692214965820312,-12.207218170166016
22,-16.701555252075195,-12.690836906433105
23,-4.646059036254883,-15.209453582763672
24,26.060251235961914,-20.39206314086914
25,57.360069274902344,-23.560625076293945
26,100.52183532714844,-30.025564193725586
27,93.5135726928711,-28.232975006103516
28,69.38418579101562,-21.225643157958984
29,45.6992073059082,-14.467611312866211
30,24.000961303710938,-11.478341102600098
31,15.20096206665039,-8.932111740112305
32,-0.7777265310287476,-9.924358367919922
33,-8.890584945678711,-11.157254219055176
34,-7.650160789489746,-12.578289031982422
35,-2.653992176055908,-10.332262992858887
36,-4.149470329284668,-9.32636833190918
37,10.178879737854004,-7.408635139465332
38,11.802634239196777,-7.204176902770996
39,6.367998123168945,-7.707698822021484
40,3.863144636154175,-8.689977645874023
41,3.559753656387329,-11.289472579956055
42,29.295677185058594,-12.076387405395508
43,27.477134704589844,-11.491432189941406
44,30.980937957763672,-11.091194152832031
45,18.814416885375977,-9.930212020874023
46,4.675023555755615,-10.64680290222168
47,21.7131290435791,-12.067623138427734
48,9.443586349487305,-13.114659309387207
49,20.186988830566406,-15.267003059387207
50,17.00937271118164,-16.644994735717773
51,27.546035766601562,-16.84864044189453
52,13.059407234191895,-17.379358291625977
53,33.12844467163086,-19.228748321533203
54,-10.866085052490234,-18.94915199279785
55,39.86775207519531,-17.77088165283203
56,25.982398986816406,-19.27839469909668
57,25.528305053710938,-18.686309814453125
58,24.102169036865234,-19.738073348999023
59,27.8890323638916,-18.375228881835938
60,9.503963470458984,-15.282166481018066
61,29.96950912475586,-17.952991485595703
62,13.457651138305664,-18.475906372070312
63,7.3859100341796875,-17.416889190673828
64,33.277671813964844,-15.835926055908203
65,37.53150177001953,-13.739090919494629
66,29.121904373168945,-14.767192840576172
67,-1.0916495323181152,-15.942529678344727
68,12.36244010925293,-14.017009735107422
